Subject,Date,Trial,File,0,30,60,90,120,150,180,210,240,270,FinalScore
28,2/11,1,kin_stat1_2016Y_02M_11D_13h_13m_00s_S3-subject-28_trials_2.mat,32,33,33,32,33,32,33,32,32,32,31
28,2/25,2,kin_stat1_2016Y_02M_25D_13h_31m_07s_S3-subject-28_trials_2.mat,31,31,32,33,32,31,32,32,32,31,27
28,3/03,1,kin_stat1_2016Y_03M_03D_13h_14m_50s_S3-subject-28_trials_3.mat,32,32,32,33,31,32,32,31,32,31,23
52,11/03,1,kin_stat1_2017Y_11M_03D_14h_11m_38s_S3-subject-52_trials_2.mat,31,31,31,28,28,28,31,31,28,31,4
52,11/07,1,kin_stat1_2017Y_11M_07D_09h_08m_45s_S3-subject-52_trials_1.mat,30,32,31,30,31,30,28,31,28,28,6
52,11/17,2,kin_stat1_2017Y_11M_17D_13h_50m_05s_S3-subject-52_trials_2.mat,32,30,31,31,30,30,31,31,31,28,14
52,11/21,3,kin_stat1_2017Y_11M_21D_10h_28m_09s_S3-subject-52_trials_3.mat,28,31,28,31,30,30,31,28,31,30,5
52,12/04,2,kin_stat1_2017Y_12M_04D_14h_57m_33s_S3-subject-52_trials_2.mat,32,31,32,32,31,29,32,32,31,29,6
14,6/5,1,kin_stat1_2015Y_06M_05D_11h_31m_13s_S3-subject-14_trials_3.mat,31,31,31,31,32,31,33,31,31,28,21
14,6/19,2,kin_stat1_2015Y_06M_19D_11h_38m_20s_S3-subject-14_trials_3.mat,28,30,30,28,31,30,30,31,31,31,8
14,6/26,3,kin_stat1_2015Y_06M_26D_10h_57m_06s_S3-subject-14_trials_3.mat,33,31,31,31,31,31,31,30,31,32,22
14,7/10,1,kin_stat1_2015Y_07M_10D_11h_27m_38s_S3-subject-14_trials_2.mat,31,31,32,31,32,31,33,31,31,32,25
14,7/21,2,kin_stat1_2015Y_07M_21D_13h_11m_22s_S3-subject-14_trials_3.mat,33,33,32,32,32,32,32,33,31,32,32
14,7/28,1,kin_stat1_2015Y_07M_28D_13h_03m_33s_S3-subject-14_trials_3.mat,32,31,32,32,33,32,32,33,32,33,32
112,1/09,2,kin_stat1_2017Y_01M_09D_11h_15m_03s_S3-subject-112_trials_2.mat,28,31,28,29,28,31,31,31,31,31,5
112,1/17,1,kin_stat1_2017Y_01M_17D_11h_17m_09s_S3-subject-112_trials_1.mat,31,31,31,31,31,32,32,32,32,32,25
112,1/23,1,kin_stat1_2017Y_01M_23D_11h_10m_40s_S3-subject-112_trials_1.mat,28,31,32,32,31,32,31,32,32,32,22
112,2/15,2,kin_stat1_2017Y_02M_15D_13h_06m_58s_S3-subject-112_trials_2.mat,32,32,32,28,31,32,32,28,32,32,19
105,3/09,1,kin_stat1_2016Y_03M_09D_13h_28m_02s_S3-subject-105_trials_3.mat,32,28,30,31,28,31,28,28,30,31,3
105,3/25,1,kin_stat1_2016Y_03M_25D_14h_40m_48s_S3-subject-105_trials_3.mat,31,32,32,32,32,33,32,32,31,30,21
105,4/01,1,kin_stat1_2016Y_04M_01D_14h_34m_36s_S3-subject-105_trials_3.mat,31,32,31,31,30,28,28,28,30,30,6
105,4/08,3,kin_stat1_2016Y_04M_08D_14h_32m_07s_S3-subject-105_trials_3.mat,31,32,30,28,28,30,32,32,32,32,15
105,4/15,2,kin_stat1_2016Y_04M_15D_14h_28m_00s_S3-subject-105_trials_3.mat,30,32,32,32,31,32,32,28,33,32,23
105,5/20,1,kin_stat1_2016Y_05M_20D_14h_28m_31s_S3-subject-105_trials_3.mat,31,32,32,28,30,28,32,32,28,32,12
105,5/25,1,kin_stat1_2016Y_05M_25D_12h_37m_05s_S3-subject-105_trials_3.mat,32,32,32,32,32,32,32,32,33,33,32
105,6/01,2,kin_stat1_2016Y_06M_01D_13h_14m_35s_S3-subject-105_trials_3.mat,32,32,32,32,28,32,28,31,32,28,14
105,6/08,1,kin_stat1_2016Y_06M_08D_13h_18m_56s_S3-subject-105_trials_3.mat,28,30,31,32,33,33,31,30,28,28,11
40,03/06,3,kin_stat1_2017Y_03M_06D_10h_18m_13s_S3-subject-40_trials_3.mat,32,32,31,30,31,30,31,30,30,32,19
40,2/27,2,kin_stat1_2017Y_02M_27D_10h_14m_15s_S3-subject-40_trials_3.mat,32,32,32,32,32,32,32,31,31,31,27
40,3/24,1,kin_stat1_2017Y_03M_24D_10h_07m_44s_S3-subject-40_trials_3.mat,32,32,32,32,31,31,31,30,30,31,22
113,9/12,3,kin_stat1_2017Y_09M_12D_17h_39m_51s_S3-subject-113_trials_3.mat,30,30,30,30,31,30,30,30,30,30,11
113,9/19,1,kin_stat1_2017Y_09M_19D_17h_39m_40s_S3-subject-113_trials_3.mat,30,31,31,30,30,30,31,30,30,30,13
113,9/28,2,kin_stat1_2017Y_09M_28D_19h_11m_17s_S3-subject-113_trials_3.mat,29,31,31,29,30,31,29,30,30,29,5
113,10/03,2,kin_stat1_2017Y_10M_03D_17h_33m_17s_S3-subject-113_trials_3.mat,29,28,31,31,29,30,30,31,30,30,6
305,5/01,2,kin_stat1_2017Y_05M_01D_10h_17m_28s_S3-subject-305_trials_3.mat,28,31,31,31,31,31,32,32,32,31,19
305,4/28,1,kin_stat1_2017Y_04M_28D_10h_17m_56s_S3-subject-305_trials_2.mat,28,28,32,32,32,32,32,32,32,32,22
305,4/17,2,kin_stat1_2017Y_04M_17D_10h_22m_55s_S3-subject-305_trials_3.mat,32,32,32,32,32,32,32,32,32,32,30
305,4/07,3,kin_stat1_2017Y_04M_07D_10h_31m_03s_S3-subject-305_trials_3.mat,28,28,28,31,32,32,32,32,32,31,13
16,6/26,3,kin_stat1_2015Y_06M_26D_11h_20m_04s_S3-subject-16_trials_3.mat,30,31,31,32,32,31,32,31,31,31,22
16,7/01,1,kin_stat1_2015Y_07M_01D_09h_24m_18s_S3-subject-16_trials_2.mat,32,33,32,32,32,32,31,29,28,28,16
16,07/07,2,kin_stat1_2015Y_07M_07D_11h_16m_08s_S3-subject-16_trials_3.mat,31,30,33,32,31,31,31,29,30,30,17
24,10/23,1,kin_stat1_2015Y_10M_23D_11h_21m_13s_S3-subject-24_trials_3.mat,32,32,31,31,32,31,32,32,31,32,26
25,10/16,1,kin_stat1_2015Y_10M_16D_13h_27m_49s_S3-subject-25_trials_3.mat,31,31,31,31,31,31,31,31,31,31,20
25,10/02,3,kin_stat1_2015Y_10M_02D_13h_24m_49s_S3-subject-25_trials_3.mat,31,31,31,31,31,31,31,31,31,31,20
38,10/13,1,kin_stat1_2016Y_10M_13D_16h_38m_29s_S3-subject-38_trials_3.mat,31,31,31,31,28,31,31,31,31,32,17
