Subject,Date,Trial,File,0,30,60,90,120,150,180,210,240,270,FinalScore
305,5/12,3,kin_stat1_2017Y_05M_12D_12h_20m_57s_S3-subject-305_trials_3.mat,31,28,31,28,32,32,32,32,28,28,8
305,08/03,2,kin_stat1_2017Y_08M_03D_15h_15m_18s_S3-subject-305_trials_3.mat,32,31,31,31,32,32,32,28,31,31,20
305,7/25,2,kin_stat1_2017Y_07M_25D_15h_17m_34s_S3-subject-305_trials_3.mat,28,28,31,28,31,28,32,28,28,28,-7
305,7/20,2,kin_stat1_2017Y_07M_20D_11h_51m_47s_S3-subject-305_trials_3.mat,32,31,32,28,28,32,32,32,32,32,19
14,5/15,1,kin_stat1_2015Y_05M_15D_11h_25m_18s_S3-subject-14_trials_1.mat,30,30,31,28,28,30,31,28,28,30,4
105,3/04,2,kin_stat1_2016Y_03M_04D_14h_23m_06s_S3-subject-105_trials_3.mat,28,28,28,28,28,28,31,31,31,28,-8
40,01/09,2,kin_stat1_2017Y_01M_09D_10h_14m_52s_S3-subject-40_trials_3.mat,30,31,31,32,32,32,31,31,32,32,24
40,01/05,1,kin_stat1_2017Y_01M_05D_13h_15m_54s_S3-subject-40_trials_3.mat,30,30,31,32,32,32,31,31,31,30,20
40,12/20,1,kin_stat1_2016Y_12M_20D_09h_54m_52s_S3-subject-40_trials_2.mat,30,32,30,32,31,28,31,30,30,31,14
112,3/06,1,kin_stat1_2017Y_03M_06D_11h_11m_44s_S3-subject-112_trials_3.mat,29,31,31,29,32,31,32,31,31,31,16
112,3/17,2,kin_stat1_2017Y_03M_17D_11h_16m_11s_S3-subject-112_trials_3.mat,28,28,28,29,28,29,31,30,32,32,-1
112,3/20,3,kin_stat1_2017Y_03M_20D_11h_22m_52s_S3-subject-112_trials_3.mat,30,28,28,28,32,32,32,28,28,31,2
112,3/27,1,kin_stat1_2017Y_03M_27D_11h_24m_04s_S3-subject-112_trials_3.mat,28,31,29,29,29,29,29,29,31,28,-6
112,4/07,2,kin_stat1_2017Y_04M_07D_11h_40m_13s_S3-subject-112_trials_3.mat,28,28,28,32,30,31,31,31,32,32,10
112,4/10,2,kin_stat1_2017Y_04M_10D_12h_07m_46s_S3-subject-112_trials_2.mat,31,32,32,32,32,28,28,28,32,32,14
112,4/17,2,kin_stat1_2017Y_04M_17D_12h_07m_26s_S3-subject-112_trials_3.mat,31,28,32,28,29,31,31,31,32,28,7
24,11/13,1,kin_stat1_2015Y_11M_13D_11h_16m_22s_S3-subject-24_trials_3.mat,31,31,33,31,32,33,32,31,31,32,27
24,11/17,3,kin_stat1_2015Y_11M_17D_09h_28m_01s_S3-subject-24_trials_3.mat,32,32,32,31,31,31,32,31,32,32,26
24,12/01,1,kin_stat1_2015Y_12M_01D_09h_32m_05s_S3-subject-24_trials_2.mat,32,32,32,32,32,32,32,32,33,32,31
24,12/07,1,kin_stat1_2015Y_12M_07D_11h_19m_37s_S3-subject-24_trials_3.mat,31,31,32,32,32,31,31,31,31,31,23
25,10/09,2,kin_stat1_2015Y_10M_09D_13h_24m_43s_S3-subject-25_trials_3.mat,31,31,31,30,31,31,31,31,31,31,19
25,10/23,1,kin_stat1_2015Y_10M_23D_13h_29m_09s_S3-subject-25_trials_3.mat,31,31,32,31,31,31,31,32,31,31,22
25,10/30,2,kin_stat1_2015Y_10M_30D_12h_09m_57s_S3-subject-25_trials_3.mat,32,31,31,31,31,31,30,32,31,31,21
25,11/09,2,kin_stat1_2015Y_11M_09D_12h_16m_42s_S3-subject-25_trials_3.mat,31,31,31,31,30,31,31,32,31,31,20
25,12/21,1,kin_stat1_2015Y_12M_21D_15h_38m_34s_S3-subject-25_trials_1.mat,32,31,31,31,32,32,31,32,31,31,24
25,1/08,2,kin_stat1_2016Y_01M_08D_12h_10m_23s_S3-subject-25_trials_3.mat,31,31,31,32,32,32,32,32,31,31,25
25,1/12,2,kin_stat1_2016Y_01M_12D_09h_12m_25s_S3-subject-25_trials_3.mat,31,31,31,32,31,31,32,31,32,32,24
27,1/13,1,kin_stat1_2015Y_11M_13D_12h_39m_41s_S3-subject-27_trials_3.mat,31,30,32,29,30,31,30,30,31,31,14
27,11/20,1,kin_stat1_2015Y_11M_20D_11h_33m_05s_S3-subject-27_trials_3.mat,31,31,31,31,31,32,32,32,32,32,25
28,12/7,1,kin_stat1_2015Y_12M_07D_12h_42m_14s_S3-subject-28_trials_1.mat,32,29,31,29,32,31,30,31,31,31,15
28,12/16,2,kin_stat1_2015Y_12M_16D_08h_41m_52s_S3-subject-28_trials_3.mat,31,31,31,30,31,31,30,31,31,31,18
28,12/22,2,kin_stat1_2015Y_12M_22D_09h_07m_31s_S3-subject-28_trials_2.mat,32,31,31,32,31,31,31,31,32,31,23
113,7/10,2,kin_stat1_2017Y_07M_10D_16h_47m_49s_S3-subject-113_trials_3.mat,28,28,31,30,31,28,28,29,31,29,-3
113,7/20,2,kin_stat1_2017Y_07M_20D_17h_28m_48s_S3-subject-113_trials_3.mat,30,31,30,31,30,30,29,30,31,30,11
17,7/21,2,kin_stat1_2015Y_07M_21D_10h_38m_32s_S3-subject-17_trials_3.mat,31,31,32,31,32,31,31,31,31,32,23
17,7/31,1,kin_stat1_2015Y_07M_31D_11h_12m_55s_S3-subject-17_trials_3.mat,33,33,32,31,30,31,32,33,33,32,30
17,8/07,1,kin_stat1_2015Y_08M_07D_10h_52m_10s_S3-subject-17_trials_3.mat,32,33,32,32,32,33,33,32,32,32,33
17,8/18,2,kin_stat1_2015Y_08M_18D_10h_27m_15s_S3-subject-17_trials_3.mat,31,32,33,33,32,32,33,32,31,32,31
18,5/15,1,kin_stat1_2015Y_05M_15D_09h_49m_09s_S3-subject-18_trials_2.mat,32,32,32,33,31,33,32,31,31,33,30
18,5/19,1,kin_stat1_2015Y_05M_19D_11h_46m_04s_S3-subject-18_trials_2.mat,32,32,32,32,32,32,32,32,32,32,30
18,5/29,1,kin_stat1_2015Y_05M_29D_12h_35m_07s_S3-subject-18_trials_2.mat,32,32,32,32,32,32,33,33,33,33,34
18,6/05,2,kin_stat1_2015Y_06M_05D_10h_16m_28s_S3-subject-18_trials_2.mat,33,32,32,32,33,32,33,32,33,32,34
27,12/11,3,kin_stat1_2015Y_12M_11D_09h_49m_14s_S3-subject-27_trials_3.mat,32,32,31,33,32,31,28,31,31,32,22
20,8/13,1,kin_stat1_2015Y_08M_13D_15h_24m_59s_S3-subject-20_trials_3.mat,33,32,32,33,32,33,33,33,32,33,36
18,7/08,2,kin_stat1_2015Y_07M_08D_10h_19m_11s_S3-subject-18_trials_3.mat,33,32,33,33,32,33,33,33,33,33,38
29,3/24,3,kin_stat1_2016Y_03M_24D_13h_29m_34s_S3-subject-29_trials_3.mat,32,32,32,32,31,32,32,32,33,32,30
